City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Povenets,RU,62.8487,34.8262,45.52,94,90,5.3,overcast clouds
144,Makakilo City,US,21.3469,-158.0858,86.32,62,20,14.97,few clouds
145,Arraial Do Cabo,BR,-22.9661,-42.0278,71.08,87,86,22.15,overcast clouds
146,Panaba,MX,21.2833,-88.2667,76.86,87,37,7.49,scattered clouds
147,Maicao,CO,11.3832,-72.2432,82.08,81,85,11.39,overcast clouds
148,Skjervoy,NO,70.0311,20.9714,51.8,81,100,4.5,overcast clouds
149,Hermanus,ZA,-34.4187,19.2345,57.9,90,45,2.64,scattered clouds
150,Clinton,US,42.587,-82.9199,69.1,66,75,1.01,broken clouds
151,Puerto Narino,CO,-3.7703,-70.3831,75.15,73,100,1.99,overcast clouds
152,Kavieng,PG,-2.5744,150.7967,83.8,73,35,8.79,light rain
153,Khash,IR,28.2211,61.2158,73.98,12,9,5.66,clear sky
154,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,5.75,clear sky
155,Avera,US,33.194,-82.5271,66.7,57,0,3.8,clear sky
156,Karangasem,ID,-8.45,115.6167,81.48,63,82,10.02,broken clouds
157,Talara,PE,-4.5772,-81.2719,65.21,88,34,11.68,scattered clouds
158,Qostanay,KZ,53.1667,63.5833,43.09,42,0,20.13,clear sky
159,Innisfail,AU,-17.5333,146.0333,89.87,60,11,8.79,few clouds
160,Yarada,IN,17.65,83.2667,81.14,84,100,15.61,moderate rain
161,San Lorenzo,PY,-25.3333,-57.5333,76.59,41,0,7.0,clear sky
162,Puerto Escondido,MX,15.85,-97.0667,81.21,81,100,3.8,overcast clouds
163,Isla Mujeres,MX,21.2311,-86.731,82.45,78,12,8.48,few clouds
164,Lang Son,VN,21.8333,106.7333,84.15,69,22,1.72,few clouds
165,Clyde River,CA,70.4692,-68.5914,25.99,87,32,9.46,scattered clouds
166,Chokurdakh,RU,70.6333,147.9167,27.19,87,100,19.39,light snow
167,Sal Rei,CV,16.1833,-22.9167,79.36,82,32,10.85,scattered clouds
168,Katherine,AU,-14.4667,132.2667,93.52,36,0,4.61,clear sky
169,Binga,ZW,-17.6203,27.3414,68.2,38,10,1.95,clear sky
170,Caravelas,BR,-17.7125,-39.2481,71.73,82,100,6.87,overcast clouds
171,Vytegra,RU,61.0064,36.4481,42.31,94,59,3.47,broken clouds
172,Tual,ID,-5.6667,132.75,80.85,82,84,12.39,broken clouds
173,Barmer,IN,25.75,71.3833,86.88,62,15,4.94,few clouds
174,Sinjar,IQ,36.3209,41.8754,68.65,19,4,4.45,clear sky
175,Fukue,JP,32.6881,128.8419,79.16,73,75,8.05,broken clouds
176,Lorengau,PG,-2.0226,147.2712,81.86,79,95,6.24,overcast clouds
177,Zalantun,CN,48.0,122.7167,60.84,58,0,14.76,clear sky
178,Mar Del Plata,AR,-38.0023,-57.5575,53.1,66,90,3.0,overcast clouds
179,Manono,CD,-7.3,27.4167,71.42,68,87,2.51,overcast clouds
180,East London,ZA,-33.0153,27.9116,66.04,80,80,18.12,broken clouds
181,Kathu,TH,7.9178,98.3332,80.42,76,94,1.61,overcast clouds
182,Ust-Maya,RU,60.4167,134.5333,45.54,54,97,7.67,overcast clouds
183,Grenada,ES,37.1882,-3.6067,67.12,67,0,1.99,clear sky
184,Hamilton,US,39.1834,-84.5333,63.84,71,1,0.0,clear sky
185,Rincon,US,32.296,-81.2354,73.85,87,1,3.44,clear sky
186,Inuvik,CA,68.3499,-133.7218,32.86,83,75,1.14,broken clouds
187,Husavik,IS,66.0449,-17.3389,33.71,96,100,26.49,snow
188,Airai,TL,-8.9266,125.4092,80.33,31,55,3.53,broken clouds
189,Tiksi,RU,71.6872,128.8694,34.39,90,100,12.08,overcast clouds
190,Belmonte,BR,-15.8631,-38.8828,73.9,89,77,6.78,broken clouds
191,Harper,LR,4.375,-7.7169,75.4,86,100,1.88,light rain
192,Mansehra,PK,34.3333,73.2,73.44,66,12,2.24,few clouds
